,Número,Año Cuenta Pública,Espacio público,Densidad poblacional,Tratamiento de aguas residuales,Tasa de homicidios,Superﬁcie destinada a vías,Participación electoral,MONTO_MODIFICADO,MONTO_COMPROMETIDO,MONTO_PAGADO,MONTO_EJERCIDO,MONTO_APROBADO,es_peña,desaparecido_bool
526,517,2018,53.800000000000004,21.936666666666667,71.83666666666666,57.96333333333334,74.30666666666666,48.526666666666664,21512991860.149937,20101396827.77996,19654280338.749977,19684515298.30997,20173762220.59004,True,False
527,517,2019,37.25,25.384999999999998,73.745,48.0,80.065,49.825,51702236338.09998,33602228985.40006,31779928401.800053,31993647365.290043,50654647061.09007,False,True
528,517,2020,34.142,17.694,80.092,47.794,68.824,33.714000000000006,78056274322.44008,32972557383.970047,29597034943.650043,31264878630.260048,77191371998.51001,False,False
529,518,2014,62.35981481481482,38.50759259259259,16.07944444444444,63.99333333333333,47.545185185185176,53.83166666666667,1381725900.7400002,1380273316.3600001,1369907209.99,1369907209.99,1381725900.7400002,True,True
530,518,2016,53.800000000000004,21.936666666666667,71.83666666666666,57.96333333333334,74.30666666666666,48.526666666666664,9107607071.680012,8968458397.22001,8434246222.170013,8486125952.300014,8943715018.44,True,True
531,518,2018,53.800000000000004,21.936666666666667,71.83666666666666,57.96333333333334,74.30666666666666,48.526666666666664,21512991860.149937,20101396827.77996,19654280338.749977,19684515298.30997,20173762220.59004,True,True
532,519,2014,34.142,17.694,80.092,47.794,68.824,33.714000000000006,378427283.24999994,323300045.23,317296555.65,317296555.65,363296403.24999994,True,True
533,519,2016,53.800000000000004,21.936666666666667,71.83666666666666,57.96333333333334,74.30666666666666,48.526666666666664,9107607071.680012,8968458397.22001,8434246222.170013,8486125952.300014,8943715018.44,True,False
534,519,2018,53.800000000000004,21.936666666666667,71.83666666666666,57.96333333333334,74.30666666666666,48.526666666666664,21512991860.149937,20101396827.77996,19654280338.749977,19684515298.30997,20173762220.59004,True,True
535,519,2019,37.25,25.384999999999998,73.745,48.0,80.065,49.825,51702236338.09998,33602228985.40006,31779928401.800053,31993647365.290043,50654647061.09007,False,True
536,519,2020,34.142,17.694,80.092,47.794,68.824,33.714000000000006,78056274322.44008,32972557383.970047,29597034943.650043,31264878630.260048,77191371998.51001,False,False
537,520,2016,53.800000000000004,21.936666666666667,71.83666666666666,57.96333333333334,74.30666666666666,48.526666666666664,9107607071.680012,8968458397.22001,8434246222.170013,8486125952.300014,8943715018.44,True,False
538,520,2018,53.800000000000004,21.936666666666667,71.83666666666666,57.96333333333334,74.30666666666666,48.526666666666664,21512991860.149937,20101396827.77996,19654280338.749977,19684515298.30997,20173762220.59004,True,True
539,520,2019,37.25,25.384999999999998,73.745,48.0,80.065,49.825,51702236338.09998,33602228985.40006,31779928401.800053,31993647365.290043,50654647061.09007,False,False
540,521,2014,34.142,17.694,80.092,47.794,68.824,33.714000000000006,378427283.24999994,323300045.23,317296555.65,317296555.65,363296403.24999994,True,True
541,521,2016,53.800000000000004,21.936666666666667,71.83666666666666,57.96333333333334,74.30666666666666,48.526666666666664,9107607071.680012,8968458397.22001,8434246222.170013,8486125952.300014,8943715018.44,True,False
542,521,2018,53.800000000000004,21.936666666666667,71.83666666666666,57.96333333333334,74.30666666666666,48.526666666666664,21512991860.149937,20101396827.77996,19654280338.749977,19684515298.30997,20173762220.59004,True,True
543,521,2019,77.32,26.16,9.16,67.61,46.91,54.035,87229155769.32982,64919315339.879776,62249158306.479866,62550618964.15987,86045750251.77983,False,True
544,521,2020,34.142,17.694,80.092,47.794,68.824,33.714000000000006,78056274322.44008,32972557383.970047,29597034943.650043,31264878630.260048,77191371998.51001,False,True
545,522,2014,60.603125,32.31875,25.708125000000003,56.720625000000005,41.35375,44.07875,16001339243.13,15863383548.929998,15861057213.969997,15861057213.969997,16226256962.100002,True,False
546,522,2016,53.800000000000004,21.936666666666667,71.83666666666666,57.96333333333334,74.30666666666666,48.526666666666664,9107607071.680012,8968458397.22001,8434246222.170013,8486125952.300014,8943715018.44,True,False
547,522,2018,53.800000000000004,21.936666666666667,71.83666666666666,57.96333333333334,74.30666666666666,48.526666666666664,21512991860.149937,20101396827.77996,19654280338.749977,19684515298.30997,20173762220.59004,True,False
548,522,2019,77.32,26.16,9.16,67.61,46.91,54.035,87229155769.32982,64919315339.879776,62249158306.479866,62550618964.15987,86045750251.77983,False,False
549,523,2016,53.800000000000004,21.936666666666667,71.83666666666666,57.96333333333334,74.30666666666666,48.526666666666664,9107607071.680012,8968458397.22001,8434246222.170013,8486125952.300014,8943715018.44,True,True
550,523,2018,53.800000000000004,21.936666666666667,71.83666666666666,57.96333333333334,74.30666666666666,48.526666666666664,21512991860.149937,20101396827.77996,19654280338.749977,19684515298.30997,20173762220.59004,True,False
551,523,2019,77.32,26.16,9.16,67.61,46.91,54.035,87229155769.32982,64919315339.879776,62249158306.479866,62550618964.15987,86045750251.77983,False,False
552,523,2020,34.142,17.694,80.092,47.794,68.824,33.714000000000006,78056274322.44008,32972557383.970047,29597034943.650043,31264878630.260048,77191371998.51001,False,False
553,524,2014,62.35981481481482,38.50759259259259,16.07944444444444,63.99333333333333,47.545185185185176,53.83166666666667,1381725900.7400002,1380273316.3600001,1369907209.99,1369907209.99,1381725900.7400002,True,False
554,524,2016,53.800000000000004,21.936666666666667,71.83666666666666,57.96333333333334,74.30666666666666,48.526666666666664,9107607071.680012,8968458397.22001,8434246222.170013,8486125952.300014,8943715018.44,True,True
555,524,2018,53.800000000000004,21.936666666666667,71.83666666666666,57.96333333333334,74.30666666666666,48.526666666666664,21512991860.149937,20101396827.77996,19654280338.749977,19684515298.30997,20173762220.59004,True,True
556,524,2019,77.32,26.16,9.16,67.61,46.91,54.035,87229155769.32982,64919315339.879776,62249158306.479866,62550618964.15987,86045750251.77983,False,False
557,525,2014,41.496249999999996,31.598124999999996,57.595,57.09812500000002,59.640625,56.43750000000001,825995518.8399997,824455282.24,816912215.4599996,819245149.7199998,828237677.8399997,True,False
558,525,2016,53.800000000000004,21.936666666666667,71.83666666666666,57.96333333333334,74.30666666666666,48.526666666666664,9107607071.680012,8968458397.22001,8434246222.170013,8486125952.300014,8943715018.44,True,False
559,525,2018,53.800000000000004,21.936666666666667,71.83666666666666,57.96333333333334,74.30666666666666,48.526666666666664,21512991860.149937,20101396827.77996,19654280338.749977,19684515298.30997,20173762220.59004,True,True
560,525,2019,77.32,26.16,9.16,67.61,46.91,54.035,87229155769.32982,64919315339.879776,62249158306.479866,62550618964.15987,86045750251.77983,False,False
561,525,2020,34.142,17.694,80.092,47.794,68.824,33.714000000000006,78056274322.44008,32972557383.970047,29597034943.650043,31264878630.260048,77191371998.51001,False,False
